,52W High,52W Low,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Gross Margin,Income,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,P\/B,P\/C,P\/S,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Week,Month
AAOI_11-08-2017,103.41,21.66,2.7,2550000.0,2.89,16.12,3.73,0.08810000000000001,2.9,11-08-2017,0.09,4.21,0.0043,47.211000000000006,0.18,1.02,4.64,0.439,1.7009999999999998,Nov 07 AMC,2776.0,0.40700000000000003,80800000.0,Semiconductor - Integrated Circuits,0.054000000000000006,-0.126,0.841,-0.028999999999999998,0.07,759690000.0,0.22,Yes,2.35,10.16,2.06,-0.4168,-0.3555,-0.4384,-0.07,0.6164999999999999,0.6123,37.89,41.23,0.21899999999999997,2.1,0.22699999999999998,0.324,0.12300000000000001,41.14,2.2,7.03,-0.0377,-0.28,-0.23079999999999998,368.60M,1.123,0.40399999999999997,Technology,0.7123,5.16,Yes,18480000.0,20050000.0,63.11,AAOI,1290534,0.01018675721561979,0.09725927722532157,0.058695124909046825,0.07591559544021353,0.09822944457919003,0.0636,0.057800000000000004
AAOI_11-02-2017,103.41,19.2,2.8,2980000.0,2.95,16.12,3.93,0.0636,2.9,11-02-2017,0.09,4.21,0.0043,47.211000000000006,0.18,1.02,4.64,0.439,1.7009999999999998,Nov 07 AMC,2776.0,0.40700000000000003,80800000.0,Semiconductor - Integrated Circuits,0.055,-0.12990000000000002,0.816,-0.0599,0.07,740820000.0,0.22,Yes,2.42,9.9,2.01,-0.1675,-0.36869999999999997,-0.6023,-0.0361,0.6625,1.035,38.97,41.45,0.21899999999999997,2.1,0.22699999999999998,0.324,0.12300000000000001,37.2,2.2,2.42,-0.1165,-0.2743,-0.2536,368.60M,1.123,0.40399999999999997,Technology,0.7125,4.41,Yes,18480000.0,19010000.0,63.11,AAOI,502412,-0.050422195416164106,-0.07889022919179745,-0.005307599517491046,0.004825090470446325,0.09143546441495776,0.0661,0.0537
AAP_11-14-2017,177.83,78.81,2.24,2280000.0,0.91,42.36,3.48,0.1911,1.5,11-14-2017,0.33,5.01,0.1812,-0.304,0.0916,1.22,6.06,0.039,-0.031,Nov 14 BMO,41000.0,0.43799999999999994,370500000.0,Auto Parts Stores,0.003,1.6699000000000002,,0.0424,0.33,6080000000.0,0.066,Yes,1.94,23.62,0.64,-0.4335,-0.0378,-0.055099999999999996,0.0195,-0.5135000000000001,-0.4326,82.28,98.0,0.039,0.3,0.044000000000000004,0.124,0.128,71.95,2.6,11.08,0.17920000000000003,-0.1971,0.0849,9.49B,0.003,0.092,Services,0.10060000000000001,3.25,Yes,73550000.0,73850000.0,104.61,AAP,1754949,-0.047040816326530566,-0.0685714285714285,-0.08102040816326528,-0.0904081632653061,-0.08357142857142852,0.0253,0.0276
ABEO_11-08-2017,22.75,4.05,1.42,1230000.0,2.29,2.21,1.27,0.0785,14.0,11-08-2017,0.0,-0.6,-0.11599999999999999,-0.005,,-0.18,-0.77,0.431,-0.21600000000000003,Nov 13 AMC,19.0,,-23200000.0,Biotechnology,0.3691,0.0,0.397,0.1595,0.0,658520000.0,,Yes,6.48,11.3,823.15,1.4280000000000002,-0.1814,0.8604,-0.20190000000000002,1.9536000000000002,1.5811000000000002,14.32,15.45,,14.0,-0.239,-0.267,,44.04,1.7,2.42,-0.10869999999999999,0.782,-0.048799999999999996,0.80M,0.0,-0.135,Healthcare,0.2279,5.28,Yes,28570000.0,45970000.0,29.39,ABEO,214467,-0.046601941747572706,-0.029126213592232997,-0.06796116504854366,-0.04207119741100318,0.035598705501618255,0.0837,0.09269999999999999
ABEO_11-21-2017,22.75,4.05,1.28,1270000.0,2.29,2.23,1.16,0.0748,22.1,11-21-2017,0.0,-0.65,-0.171,-0.6779999999999999,,-0.18,-0.82,0.431,-0.21600000000000003,Nov 13,19.0,,-25900000.0,Biotechnology,0.3691,0.0,0.435,0.2492,0.0,718830000.0,,Yes,6.59,12.72,798.7,1.4915,-0.2263,0.8726,0.0,2.0309,1.0276,14.7,15.8,,22.1,-0.253,-0.27699999999999997,,49.62,1.8,0.89,-0.025099999999999997,0.7279000000000001,-0.046900000000000004,0.90M,0.0,-0.135,Healthcare,0.2416,5.44,Yes,28570000.0,48900000.0,28.97,ABEO,81003,0.0,0.06012658227848089,0.05379746835443022,,,0.0933,0.0729
ABUS_11-27-2017,8.25,2.35,0.4,389500.0,1.12,3.05,1.66,0.0579,11.0,11-27-2017,0.07,-4.99,-0.10800000000000001,0.42100000000000004,,-0.41,-1.44,-0.52,-4.3839999999999995,Nov 02 AMC,122.0,,-267200000.0,Biotechnology,0.027999999999999997,-0.0067,0.6,-0.1081,0.07,340740000.0,,Yes,2.1,3.86,42.59,0.9394,0.1532,0.5238,0.113,1.6122,1.4150999999999998,6.05,6.4,,11.0,,,-1.806,57.32,1.9,0.71,0.0931,0.5349,0.0131,8.00M,7.625,-0.384,Healthcare,0.015,1.34,Yes,34760000.0,53240000.0,9.21,ABUS,276737,,,,,,0.0526,0.0757
ABY_11-02-2017,22.87,16.55,0.36,462620.0,1.11,18.78,7.54,0.0766,2.3,11-02-2017,3.27,0.31,0.7463,8.205,,0.45,0.83,,0.978,Nov 13 AMC,166.0,0.9279999999999999,31100000.0,Electric Utilities,0.4155,0.0,0.535,0.035,3.11,2230000000.0,0.429,Yes,1.19,2.97,2.26,0.10949999999999999,0.1517,0.009000000000000001,0.0168,0.15710000000000002,0.2621,22.39,24.1,0.032,2.3,0.003,0.017,0.051,85.07,2.2,14.83,0.1261,0.1547,0.1617,987.30M,0.091,,Utilities,0.009399999999999999,1.19,Yes,58570000.0,99500000.0,22.33,ABY,476808,-0.053941908713692976,-0.03775933609958504,-0.0481327800829876,-0.02863070539419088,-0.03568464730290466,0.0141,0.0189
ACAD_11-08-2017,41.2,24.31,1.57,1500000.0,3.92,3.4,3.48,-0.0711,10.8,11-08-2017,0.0,-2.53,0.231,0.12300000000000001,0.331,-0.62,-1.96,-0.4,-0.433,Nov 07 AMC,420.0,0.888,-305600000.0,Biotechnology,0.001,-0.4968,,-0.0001,0.0,3890000000.0,,Yes,9.55,9.32,61.76,0.11699999999999999,-0.1365,-0.0226,-0.068,0.1255,0.4119,32.46,30.15,,10.7,-0.5720000000000001,-0.621,-0.529,25.25,2.0,6.57,-0.1446,-0.0889,-0.16949999999999998,63.00M,313.175,0.53,Healthcare,0.056299999999999996,4.5,Yes,119870000.0,119870000.0,49.11,ACAD,707755,-0.03283582089552228,-0.07893864013266993,-0.09850746268656718,-0.12106135986733002,-0.09585406301824206,0.060700000000000004,0.04
ACET_11-27-2017,22.46,8.29,0.48,466230.0,1.39,11.7,2.41,0.053,2.1,11-27-2017,0.81,0.21,0.1421,-0.912,0.1,0.23,1.23,-0.113,-0.703,Nov 02 AMC,286.0,0.21600000000000003,7400000.0,Chemicals - Major Diversified,0.032,-0.0694,0.815,-0.031,0.77,333920000.0,0.042,Yes,0.92,4.45,0.48,-0.25379999999999997,-0.0037,0.0009,0.0645,-0.5115999999999999,-0.457,10.19,10.73,0.011000000000000001,1.5,0.006999999999999999,0.018000000000000002,0.032,59.97,2.3,0.99,0.1015,-0.22,0.0121,695.60M,0.44799999999999995,0.075,Basic Materials,0.0637,4.04,Yes,29560000.0,31120000.0,12.07,ACET,459832,,,,,,0.0454,0.0581
ACHN_11-16-2017,5.66,2.95,0.22,1530000.0,1.61,2.52,2.34,0.0842,22.7,11-16-2017,0.0,-0.49,-0.016,0.07200000000000001,0.17579999999999998,-0.16,-0.62,0.081,-0.35600000000000004,Nov 02,81.0,,-66500000.0,Biotechnology,0.001,0.0,0.9840000000000001,0.0608,0.0,416250000.0,,Yes,1.2,1.29,27.75,-0.3129,-0.297,-0.3791,-0.2211,-0.2663,-0.35259999999999997,3.03,3.29,,22.7,-0.172,-0.17800000000000002,-0.162,33.03,2.1,45.4,-0.1549,-0.21739999999999998,-0.20629999999999998,15.00M,,1.273,Healthcare,0.0642,5.73,Yes,136700000.0,137380000.0,5.92,ACHN,4834539,0.05167173252279622,0.04863221884498481,0.05775075987841949,0.054711246200607855,-0.015197568389057725,0.06709999999999999,0.0554
