,52W High,52W Low,52W Range,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volatility,Volume,_id,_rev,Day 1,Day 2,Day 3,Day 4,Day 5
AAOI_11-08-2017,-60.13%,90.34%,21.66 - 103.41,2.70,2.55M,2.89,16.12,3.73,0.08810000000000001,2.90,11-08-2017,0.09,-,-,4.21,0.43%,4721.10%,18.00%,1.02,4.64,43.90%,170.10%,Nov 07 AMC,2776,8.16,40.70%,80.80M,-,Semiconductor - Integrated Circuits,5.40%,-12.60%,84.10%,-2.90%,0.07,759.69M,22.00%,Yes,0.50,2.35,10.16,9.01,9.00,2.06,0.00%,-41.68%,-35.55%,-43.84%,-7.00%,61.65%,61.23%,37.89,41.23,21.90%,2.10,22.70%,32.40%,12.30%,41.14,2.20,7.03,-3.77%,-28.00%,-23.08%,368.60M,112.30%,40.40%,Technology,71.23%,5.16,Yes,18.48M,20.05M,63.11,AAOI,6.36% 5.78%,1290534,AAOI_11-08-2017,1-b386d5a954d47989c7a3abbc100bb253,0.01018675721561979,0.09725927722532157,0.058695124909046825,0.07591559544021353,0.09822944457919003
AAOI_11-02-2017,-59.92%,115.83%,19.20 - 103.41,2.80,2.98M,2.95,16.12,3.93,0.0636,2.90,11-02-2017,0.09,-,-,4.21,0.43%,4721.10%,18.00%,1.02,4.64,43.90%,170.10%,Nov 07 AMC,2776,8.39,40.70%,80.80M,-,Semiconductor - Integrated Circuits,5.50%,-12.99%,81.60%,-5.99%,0.07,740.82M,22.00%,Yes,0.51,2.42,9.90,9.26,8.78,2.01,0.00%,-16.75%,-36.87%,-60.23%,-3.61%,66.25%,103.50%,38.97,41.45,21.90%,2.10,22.70%,32.40%,12.30%,37.20,2.20,2.42,-11.65%,-27.43%,-25.36%,368.60M,112.30%,40.40%,Technology,71.25%,4.41,Yes,18.48M,19.01M,63.11,AAOI,6.61% 5.37%,502412,AAOI_11-02-2017,1-9e8bc59ebb9377aa774019498ade0422,-0.050422195416164106,-0.07889022919179745,-0.005307599517491046,0.004825090470446325,0.09143546441495776
AAP_11-14-2017,-44.89%,24.35%,78.81 - 177.83,2.24,2.28M,0.91,42.36,3.48,0.1911,1.50,11-14-2017,0.33,0.24,0.29%,5.01,18.12%,-30.40%,9.16%,1.22,6.06,3.90%,-3.10%,Nov 14 BMO,41000,13.59,43.80%,370.50M,S&P 500,Auto Parts Stores,0.30%,166.99%,-,4.24%,0.33,6.08B,6.60%,Yes,1.79,1.94,23.62,16.43,20.39,0.64,4.80%,-43.35%,-3.78%,-5.51%,1.95%,-51.35%,-43.26%,82.28,98.00,3.90%,0.30,4.40%,12.40%,12.80%,71.95,2.60,11.08,17.92%,-19.71%,8.49%,9.49B,0.30%,9.20%,Services,10.06%,3.25,Yes,73.55M,73.85M,104.61,AAP,2.53% 2.76%,1754949,AAP_11-14-2017,1-6baf6711a0a8935eab02bd8698742a13,-0.047040816326530566,-0.0685714285714285,-0.08102040816326528,-0.0904081632653061,-0.08357142857142852
ABEO_11-08-2017,-32.09%,281.48%,4.05 - 22.75,1.42,1.23M,2.29,2.21,1.27,0.0785,14.00,11-08-2017,0.00,-,-,-0.60,-11.60%,-0.50%,-,-0.18,-0.77,43.10%,-21.60%,Nov 13 AMC,19,-,-,-23.20M,-,Biotechnology,36.91%,0.00%,39.70%,15.95%,0.00,658.52M,-,Yes,-,6.48,11.30,-,-,823.15,-,142.80%,-18.14%,86.04%,-20.19%,195.36%,158.11%,14.32,15.45,-,14.00,-23.90%,-26.70%,-,44.04,1.70,2.42,-10.87%,78.20%,-4.88%,0.80M,0.00%,-13.50%,Healthcare,22.79%,5.28,Yes,28.57M,45.97M,29.39,ABEO,8.37% 9.27%,214467,ABEO_11-08-2017,1-47c77068df2c04e427caf232f98dcfc1,-0.046601941747572706,-0.029126213592232997,-0.06796116504854366,-0.04207119741100318,0.035598705501618255
ABEO_11-21-2017,-30.55%,290.12%,4.05 - 22.75,1.28,1.27M,2.29,2.23,1.16,0.0748,22.10,11-21-2017,0.00,-,-,-0.65,-17.10%,-67.80%,-,-0.18,-0.82,43.10%,-21.60%,Nov 13,19,-,-,-25.90M,-,Biotechnology,36.91%,0.00%,43.50%,24.92%,0.00,718.83M,-,Yes,-,6.59,12.72,-,-,798.70,-,149.15%,-22.63%,87.26%,0.00%,203.09%,102.76%,14.70,15.80,-,22.10,-25.30%,-27.70%,-,49.62,1.80,0.89,-2.51%,72.79%,-4.69%,0.90M,0.00%,-13.50%,Healthcare,24.16%,5.44,Yes,28.57M,48.90M,28.97,ABEO,9.33% 7.29%,81003,ABEO_11-21-2017,1-d5ef7268113666f67a719ed19116e049,0.0,0.06012658227848089,0.05379746835443022,,
ABUS_11-27-2017,-22.42%,172.34%,2.35 - 8.25,0.40,389.50K,1.12,3.05,1.66,0.0579,11.00,11-27-2017,0.07,-,-,-4.99,-10.80%,42.10%,-,-0.41,-1.44,-52.00%,-438.40%,Nov 02 AMC,122,-,-,-267.20M,-,Biotechnology,2.80%,-0.67%,60.00%,-10.81%,0.07,340.74M,-,Yes,-,2.10,3.86,-,-,42.59,-,93.94%,15.32%,52.38%,11.30%,161.22%,141.51%,6.05,6.40,-,11.00,-,-,-180.60%,57.32,1.90,0.71,9.31%,53.49%,1.31%,8.00M,762.50%,-38.40%,Healthcare,1.50%,1.34,Yes,34.76M,53.24M,9.21,ABUS,5.26% 7.57%,276737,ABUS_11-27-2017,1-4e1bd00fa634018c6914dd99c666fc34,,,,,
ABY_11-02-2017,5.40%,45.65%,16.55 - 22.87,0.36,462.62K,1.11,18.78,7.54,0.0766,2.30,11-02-2017,3.27,1.04,4.64%,0.31,74.63%,820.50%,-,0.45,0.83,-,97.80%,Nov 13 AMC,166,27.11,92.80%,31.10M,-,Electric Utilities,41.55%,0.00%,53.50%,3.50%,3.11,2.23B,42.90%,Yes,-,1.19,2.97,72.23,8.08,2.26,216.80%,10.95%,15.17%,0.90%,1.68%,15.71%,26.21%,22.39,24.10,3.20%,2.30,0.30%,1.70%,5.10%,85.07,2.20,14.83,12.61%,15.47%,16.17%,987.30M,9.10%,-,Utilities,0.94%,1.19,Yes,58.57M,99.50M,22.33,ABY,1.41% 1.89%,476808,ABY_11-02-2017,1-1baebfc57b3f7f19985bea8bb47f0c58,-0.053941908713692976,-0.03775933609958504,-0.0481327800829876,-0.02863070539419088,-0.03568464730290466
ACAD_11-08-2017,-26.82%,24.03%,24.31 - 41.20,1.57,1.50M,3.92,3.40,3.48,-0.0711,10.80,11-08-2017,0.00,-,-,-2.53,23.10%,12.30%,33.10%,-0.62,-1.96,-40.00%,-43.30%,Nov 07 AMC,420,-,88.80%,-305.60M,-,Biotechnology,0.10%,-49.68%,-,-0.01%,0.00,3.89B,-,Yes,-,9.55,9.32,-,-,61.76,-,11.70%,-13.65%,-2.26%,-6.80%,12.55%,41.19%,32.46,30.15,-,10.70,-57.20%,-62.10%,-52.90%,25.25,2.00,6.57,-14.46%,-8.89%,-16.95%,63.00M,31317.50%,53.00%,Healthcare,5.63%,4.50,Yes,119.87M,119.87M,49.11,ACAD,6.07% 4.00%,707755,ACAD_11-08-2017,1-10d0a5f09faa62758a38cff4441a00d6,-0.03283582089552228,-0.07893864013266993,-0.09850746268656718,-0.12106135986733002,-0.09585406301824206
ACET_11-27-2017,-52.23%,29.43%,8.29 - 22.46,0.48,466.23K,1.39,11.70,2.41,0.053,2.10,11-27-2017,0.81,0.26,2.42%,0.21,14.21%,-91.20%,10.00%,0.23,1.23,-11.30%,-70.30%,Nov 02 AMC,286,8.72,21.60%,7.40M,-,Chemicals - Major Diversified,3.20%,-6.94%,81.50%,-3.10%,0.77,333.92M,4.20%,Yes,5.13,0.92,4.45,51.34,4.86,0.48,122.90%,-25.38%,-0.37%,0.09%,6.45%,-51.16%,-45.70%,10.19,10.73,1.10%,1.50,0.70%,1.80%,3.20%,59.97,2.30,0.99,10.15%,-22.00%,1.21%,695.60M,44.80%,7.50%,Basic Materials,6.37%,4.04,Yes,29.56M,31.12M,12.07,ACET,4.54% 5.81%,459832,ACET_11-27-2017,1-42b3488c0aae1329f77a972ade64e21c,,,,,
ACHN_11-16-2017,-41.96%,11.36%,2.95 - 5.66,0.22,1.53M,1.61,2.52,2.34,0.0842,22.70,11-16-2017,0.00,-,-,-0.49,-1.60%,7.20%,17.58%,-0.16,-0.62,8.10%,-35.60%,Nov 02,81,-,-,-66.50M,-,Biotechnology,0.10%,0.00%,98.40%,6.08%,0.00,416.25M,-,Yes,-,1.20,1.29,-,-,27.75,-,-31.29%,-29.70%,-37.91%,-22.11%,-26.63%,-35.26%,3.03,3.29,-,22.70,-17.20%,-17.80%,-16.20%,33.03,2.10,45.40,-15.49%,-21.74%,-20.63%,15.00M,-,127.30%,Healthcare,6.42%,5.73,Yes,136.70M,137.38M,5.92,ACHN,6.71% 5.54%,4834539,ACHN_11-16-2017,1-d4cfc4210810153e222b48ace8414470,0.05167173252279622,0.04863221884498481,0.05775075987841949,0.054711246200607855,-0.015197568389057725
