,52W High,52W Low,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volume,Week,Month,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
AAOI_11-02-2017,103.41,19.2,2.8,2980000,2.95,16.12,3.93,0.0636,2.9,11/2/2017,0.09,,,4.21,0.0043,47.211,0.18,1.02,4.64,0.439,1.701,Nov 07 AMC,2776,8.39,0.407,80800000,,Semiconductor - Integrated Circuits,0.055,-0.1299,0.816,-0.0599,0.07,740820000,0.22,Yes,0.51,2.42,9.9,9.26,8.78,2.01,0,-0.1675,-0.3687,-0.6023,-0.0361,0.6625,1.035,38.97,41.45,0.219,2.1,0.227,0.324,0.123,37.2,2.2,2.42,-0.1165,-0.2743,-0.2536,368.60M,1.123,0.404,Technology,0.7125,4.41,Yes,18480000,19010000,63.11,AAOI,502412,0.0661,0.0537,-0.050422195,-0.078890229,-0.0053076,0.00482509,0.091435464,0.053075995,0.070205066
AAOI_11-08-2017,103.41,21.66,2.7,2550000,2.89,16.12,3.73,0.0881,2.9,11/8/2017,0.09,,,4.21,0.0043,47.211,0.18,1.02,4.64,0.439,1.701,Nov 07 AMC,2776,8.16,0.407,80800000,,Semiconductor - Integrated Circuits,0.054,-0.126,0.841,-0.029,0.07,759690000,0.22,Yes,0.5,2.35,10.16,9.01,9,2.06,0,-0.4168,-0.3555,-0.4384,-0.07,0.6165,0.6123,37.89,41.23,0.219,2.1,0.227,0.324,0.123,41.14,2.2,7.03,-0.0377,-0.28,-0.2308,368.60M,1.123,0.404,Technology,0.7123,5.16,Yes,18480000,20050000,63.11,AAOI,1290534,0.0636,0.0578,0.010186757,0.097259277,0.058695125,0.075915595,0.098229445,0.084162018,0.092165899
AAP_11-14-2017,177.83,78.81,2.24,2280000,0.91,42.36,3.48,0.1911,1.5,11/14/2017,0.33,0.24,0.0029,5.01,0.1812,-0.304,0.0916,1.22,6.06,0.039,-0.031,Nov 14 BMO,41000,13.59,0.438,370500000,S&P 500,Auto Parts Stores,0.003,1.6699,,0.0424,0.33,6080000000,0.066,Yes,1.79,1.94,23.62,16.43,20.39,0.64,0.048,-0.4335,-0.0378,-0.0551,0.0195,-0.5135,-0.4326,82.28,98,0.039,0.3,0.044,0.124,0.128,71.95,2.6,11.08,0.1792,-0.1971,0.0849,9.49B,0.003,0.092,Services,0.1006,3.25,Yes,73550000,73850000,104.61,AAP,1754949,0.0253,0.0276,-0.047040816,-0.068571429,-0.081020408,-0.090408163,-0.083571429,-0.087244898,-0.089489796
AAP_11-29-2017,177.83,78.81,3.4,1960000,0.91,43.74,4.89,0.0766,1.5,11/29/2017,0.32,0.24,0.0024,4.77,0.1334,-0.156,0.0913,0.62,5.9,0.039,-0.031,Nov 14 BMO,41000,16.93,0.437,353100000,S&P 500,Auto Parts Stores,0.003,1.6616,,0.0016,0.32,7420000000,0.063,Yes,2.3,2.29,20.42,20.96,28.71,0.79,0.05,-0.271,0.2189,0.0324,0.1239,-0.409,-0.4114,92.84,99.95,0.037,0.3,0.042,0.115,0.128,67.86,2.6,1.99,0.1633,-0.1564,0.1216,9.42B,-0.03,0.092,Services,0.1006,3.77,Yes,73580000,74220000,107.97,AAP,3895424,0.0316,0.0317,0.010505253,,,,,,
ABAX_11-30-2017,55.95,43.66,1.62,110060,0.86,12.22,6.48,-0.0556,6.3,11/30/2017,0,0.64,0.0131,1.2,0.2092,-0.432,0.0173,0.25,1.32,0.198,0.059,Oct 24 AMC,584,36.98,0.551,27300000,,Medical Laboratories & Research,0.005,-0.0308,0.994,-0.0003,0,1120000000,0.175,Yes,23.51,3.99,7.53,40.72,55.17,4.91,0.463,-0.0392,0.007,0.0545,-0.0287,-0.0764,-0.0552,51.61,48.74,0.12,5.3,0.088,0.102,0.098,52.22,3.1,1.97,0.0132,0.0094,0.0374,228.10M,0.005,0.077,Healthcare,0.1052,20.77,Yes,21720000,22980000,46.43,ABAX,217147,0.0334,0.0303,,,,,,,
ABEO_11-08-2017,22.75,4.05,1.42,1230000,2.29,2.21,1.27,0.0785,14,11/8/2017,0,,,-0.6,-0.116,-0.005,,-0.18,-0.77,0.431,-0.216,Nov 13 AMC,19,,,-23200000,,Biotechnology,0.3691,0,0.397,0.1595,0,658520000,,Yes,,6.48,11.3,,,823.15,,1.428,-0.1814,0.8604,-0.2019,1.9536,1.5811,14.32,15.45,,14,-0.239,-0.267,,44.04,1.7,2.42,-0.1087,0.782,-0.0488,0.80M,0,-0.135,Healthcare,0.2279,5.28,Yes,28570000,45970000,29.39,ABEO,214467,0.0837,0.0927,-0.046601942,-0.029126214,-0.067961165,-0.042071197,0.035598706,0.022653722,-0.006472492
ABEO_11-21-2017,22.75,4.05,1.28,1270000,2.29,2.23,1.16,0.0748,22.1,11/21/2017,0,,,-0.65,-0.171,-0.678,,-0.18,-0.82,0.431,-0.216,13-Nov,19,,,-25900000,,Biotechnology,0.3691,0,0.435,0.2492,0,718830000,,Yes,,6.59,12.72,,,798.7,,1.4915,-0.2263,0.8726,0,2.0309,1.0276,14.7,15.8,,22.1,-0.253,-0.277,,49.62,1.8,0.89,-0.0251,0.7279,-0.0469,0.90M,0,-0.135,Healthcare,0.2416,5.44,Yes,28570000,48900000,28.97,ABEO,81003,0.0933,0.0729,0,0.060126582,0.053797468,0.098101266,0.053797468,0.094936709,
ABUS_11-28-2017,8.25,2.35,0.42,392610,1.12,3.05,1.66,-0.0781,11,11/28/2017,0.07,,,-4.99,-0.108,0.421,,-0.41,-1.44,-0.52,-4.384,Nov 02 AMC,122,,,-267200000,,Biotechnology,0.028,-0.0067,0.6,-0.1081,0.07,314120000,,Yes,,1.93,3.56,,,39.26,,0.7353,-0.0248,0.3642,0.0351,1.4082,1.1852,6.4,5.9,,11,,,-1.806,49.23,1.9,0.69,0.0047,0.4085,-0.0702,8.00M,7.625,-0.384,Healthcare,0.015,1.33,Yes,34760000,53240000,9.21,ABUS,272139,0.0701,0.0762,-0.076271186,,,,,,
ABUS_11-27-2017,8.25,2.35,0.4,389500,1.12,3.05,1.66,0.0579,11,11/27/2017,0.07,,,-4.99,-0.108,0.421,,-0.41,-1.44,-0.52,-4.384,Nov 02 AMC,122,,,-267200000,,Biotechnology,0.028,-0.0067,0.6,-0.1081,0.07,340740000,,Yes,,2.1,3.86,,,42.59,,0.9394,0.1532,0.5238,0.113,1.6122,1.4151,6.05,6.4,,11,,,-1.806,57.32,1.9,0.71,0.0931,0.5349,0.0131,8.00M,7.625,-0.384,Healthcare,0.015,1.34,Yes,34760000,53240000,9.21,ABUS,276737,0.0526,0.0757,-0.078125,-0.1484375,,,,,
ABUS_11-29-2017,8.25,2.35,0.43,392600,1.12,3.05,1.66,-0.0763,11,11/29/2017,0.07,,,-4.99,-0.108,0.421,,-0.41,-1.44,-0.52,-4.384,Nov 02 AMC,122,,,-267200000,,Biotechnology,0.028,-0.0067,0.6,-0.1081,0.07,290160000,,Yes,,1.79,3.29,,,36.27,,0.6029,-0.0917,0.2749,-0.0684,1.2245,1.0566,5.9,5.45,,11,,,-1.806,40.85,1.9,1.01,-0.0712,0.296,-0.1418,8.00M,7.625,-0.384,Healthcare,0.015,1.33,Yes,34760000,53240000,9.21,ABUS,395684,0.0814,0.0783,,,,,,,
ABY_11-02-2017,22.87,16.55,0.36,462620,1.11,18.78,7.54,0.0766,2.3,11/2/2017,3.27,1.04,0.0464,0.31,0.7463,8.205,,0.45,0.83,,0.978,Nov 13 AMC,166,27.11,0.928,31100000,,Electric Utilities,0.4155,0,0.535,0.035,3.11,2230000000,0.429,Yes,,1.19,2.97,72.23,8.08,2.26,2.168,0.1095,0.1517,0.009,0.0168,0.1571,0.2621,22.39,24.1,0.032,2.3,0.003,0.017,0.051,85.07,2.2,14.83,0.1261,0.1547,0.1617,987.30M,0.091,,Utilities,0.0094,1.19,Yes,58570000,99500000,22.33,ABY,476808,0.0141,0.0189,-0.053941909,-0.037759336,-0.04813278,-0.028630705,-0.035684647,-0.02406639,-0.02406639
ACAD_11-08-2017,41.2,24.31,1.57,1500000,3.92,3.4,3.48,-0.0711,10.8,11/8/2017,0,,,-2.53,0.231,0.123,0.331,-0.62,-1.96,-0.4,-0.433,Nov 07 AMC,420,,0.888,-305600000,,Biotechnology,0.001,-0.4968,,-0.0001,0,3890000000,,Yes,,9.55,9.32,,,61.76,,0.117,-0.1365,-0.0226,-0.068,0.1255,0.4119,32.46,30.15,,10.7,-0.572,-0.621,-0.529,25.25,2,6.57,-0.1446,-0.0889,-0.1695,63.00M,313.175,0.53,Healthcare,0.0563,4.5,Yes,119870000,119870000,49.11,ACAD,707755,0.0607,0.04,-0.032835821,-0.07893864,-0.098507463,-0.12106136,-0.095854063,-0.090878939,-0.072305141
ACET_11-27-2017,22.46,8.29,0.48,466230,1.39,11.7,2.41,0.053,2.1,11/27/2017,0.81,0.26,0.0242,0.21,0.1421,-0.912,0.1,0.23,1.23,-0.113,-0.703,Nov 02 AMC,286,8.72,0.216,7400000,,Chemicals - Major Diversified,0.032,-0.0694,0.815,-0.031,0.77,333920000,0.042,Yes,5.13,0.92,4.45,51.34,4.86,0.48,1.229,-0.2538,-0.0037,0.0009,0.0645,-0.5116,-0.457,10.19,10.73,0.011,1.5,0.007,0.018,0.032,59.97,2.3,0.99,0.1015,-0.22,0.0121,695.60M,0.448,0.075,Basic Materials,0.0637,4.04,Yes,29560000,31120000,12.07,ACET,459832,0.0454,0.0581,-0.006523765,-0.012115564,-0.011183597,,,,
ACHN_11-16-2017,5.66,2.95,0.22,1530000,1.61,2.52,2.34,0.0842,22.7,11/16/2017,0,,,-0.49,-0.016,0.072,0.1758,-0.16,-0.62,0.081,-0.356,2-Nov,81,,,-66500000,,Biotechnology,0.001,0,0.984,0.0608,0,416250000,,Yes,,1.2,1.29,,,27.75,,-0.3129,-0.297,-0.3791,-0.2211,-0.2663,-0.3526,3.03,3.29,,22.7,-0.172,-0.178,-0.162,33.03,2.1,45.4,-0.1549,-0.2174,-0.2063,15.00M,,1.273,Healthcare,0.0642,5.73,Yes,136700000,137380000,5.92,ACHN,4834539,0.0671,0.0554,0.051671733,0.048632219,0.05775076,0.054711246,-0.015197568,-0.006079027,-0.012158055
ACHN_11-15-2017,5.66,3.15,0.18,1430000,1.61,2.52,2.34,-0.1274,22.7,11/15/2017,0,,,-0.49,-0.016,0.072,0.1758,-0.16,-0.62,0.081,-0.356,2-Nov,81,,,-66500000,,Biotechnology,0.001,0,0.984,0.0608,0,506910000,,Yes,,1.46,1.58,,,33.79,,-0.0238,-0.1614,-0.2439,-0.0729,-0.1065,-0.2215,3.69,3.22,,22.7,-0.172,-0.178,-0.162,26.31,2.1,3.93,-0.1847,-0.2339,-0.2287,15.00M,,1.273,Healthcare,0.0642,6.12,Yes,136700000,137380000,5.92,ACHN,391486,0.0421,0.0491,0.02173913,0.074534161,0.071428571,0.080745342,0.077639752,0.00621118,0.01552795
ACIU_11-03-2017,17.47,6.03,0.49,76400,,2.12,2.27,-0.0615,21.6,11/3/2017,0,,,-0.68,-0.18,-1.9,,-0.13,-0.72,,-1.377,Nov 08 BMO,67,,,-35700000,,Biotechnology,0.6204,0,0.182,,0,685720000,,No,,5.91,5.51,,,124.68,,0.3911,0.1159,0.8687,0.105,-0.0354,0.039,12.52,11.75,,21.6,-0.241,-0.263,-0.073,55.08,1.3,3.02,0.0035,0.1731,0.1145,5.50M,-0.96,,Healthcare,0.0381,10.74,Yes,21550000,54770000,21.23,ACIU,16039,0.037,0.0376,0.003404255,0.019574468,0.019574468,0.019574468,-0.038297872,-0.102978723,-0.081702128
